 format: day,day,forecast,value location:59_125 Start : 20210801 ,value location:59_125 Start : 20220801 ,value location:59_125 Start : 20200801 
1,1,1,6.1,0,0
1,1,2,1.6,0,0
1,1,3,0.7,0,15
1,1,4,0.8,0,20.5
1,1,5,0.6,0,0
1,1,6,0.8,0,0
1,1,1,1.1,0,0
1,1,2,0,0,0
1,1,3,1.8,0,0
1,1,4,0.8,0,0
1,1,5,0.7,0,0
1,1,6,0.5,0,0
1,1,1,0.2,0,4
1,1,2,1,0.5,6.5
1,1,3,0.2,1,0.5
1,1,4,0.7,2,0.5
1,1,5,1.2,4.5,0
1,1,6,0,4,0
1,1,1,1.2,4,0
1,1,2,0.6,0.5,0
1,1,3,0.4,0.5,0.5
1,1,4,1.4,0,0.5
1,1,5,1,0,0
1,1,6,0,0,1
1,1,1,1.1,0,0.5
1,1,2,1,0,4
1,1,3,1.5,0,0.5
1,1,4,2.9,0,5.5
1,1,5,1,0.5,4
1,1,6,0.4,1,0
1,1,1,0.9,0.5,4.5
1,1,2,1.1,1,3.5
1,1,3,4.1,11,0.5
1,1,4,0.9,0,0
1,1,5,2.5,0,0
1,1,6,0.5,0.5,0
1,1,1,0.5,1,0
1,1,2,1,7,0
1,1,3,1.4,11.5,0
1,1,4,1.6,3.5,0
1,1,5,2.7,3.5,1
1,1,6,10.6,1,13
1,1,1,0.3,7,8
1,1,2,0.6,18,1.5
1,1,3,0.1,1.5,11
1,1,4,1.1,4,0
1,1,5,19.299999,9.5,6
1,1,6,15.8,0,1
1,1,1,0.3,0,3.5
1,1,2,0,0,0
1,1,3,0.3,0,0.5
1,1,4,0.2,0,0
1,1,5,0.7,0,0.5
1,1,6,2.5,0,0
1,1,1,1,0,2
1,1,2,0.6,0,0
1,1,3,1.5,0,0
1,1,4,2.2,0,7.5
1,1,5,3.8,0,8.5
1,1,6,0.8,0,0
1,1,1,2.1,0,0
1,1,2,2.7,0,0
1,1,3,0.9,0,0
1,1,4,1,0,0
1,1,5,0.4,0.5,0
1,1,6,0.3,0,0
1,1,1,3.3,0,0
1,1,2,1.6,0,0
1,1,3,1.1,0,0.5
1,1,4,3.2,0,0
1,1,5,0.1,0,0
1,1,6,0.1,0,0
1,1,1,1.7,0,0
1,1,2,1.5,0,0
1,1,3,1,0,0
1,1,4,0.4,0,0
1,1,5,0.2,0,0
1,1,6,1,0,0
1,1,1,1.5,0,0
1,1,2,1.3,0,0.5
1,1,3,0.4,0,0
1,1,4,0.3,0,0
1,1,5,0.1,0,0
1,1,6,0.3,0,0
1,1,1,0.6,0,0
1,1,2,0,0,2
1,1,3,0,0,0
1,1,4,0.2,0,0
1,1,5,0.2,0,0
1,1,6,0,0,0
1,1,1,0,0,0
1,1,2,0,0,0
1,1,3,0.2,0,0
1,1,4,0.1,0,0.5
1,1,5,0,0,1
1,1,6,0,0,0.5
1,1,1,0,0,0.5
1,1,2,0,0,0
1,1,3,0,0,0.5
1,1,4,0,0,0
1,1,5,0,0,0
1,1,6,0,0,0
1,1,1,0,0,0
1,1,2,0,0,1
1,1,3,0,0,1
1,1,4,0,0,0
1,1,5,0.6,0,0.5
1,1,6,4.6,0,0.5
1,1,1,0,0,0
1,1,2,0,0,0.5
1,1,3,0.4,0,7.5
1,1,4,2.2,0,4.5
1,1,5,0.8,0,5.5
1,1,6,0,0,7
1,1,1,0,0,12.5
1,1,2,0,0,21.5
1,1,3,1.4,0,19
1,1,4,0.1,0,14.5
1,1,5,0.9,0,0.5
1,1,6,0,0,1
1,1,1,2.5,0,0
1,1,2,1.7,0,0
1,1,3,0.3,0.5,0
1,1,4,0.4,0,0
1,1,5,0.1,0,0
1,1,6,0,0,0
1,1,1,1.9,0,0
1,1,2,0.4,0,0
1,1,3,0.7,0,0
1,1,4,0.2,0,0
1,1,5,0.1,0,0
1,1,6,0.1,0,0
1,1,1,0.4,2,0
1,1,2,0.4,0,0
1,1,3,0.2,0,0
1,1,4,0.4,0,0
1,1,5,1.9,0,0
1,1,6,0.7,0,0
1,1,1,0.3,0,0
1,1,2,0.1,0,0
1,1,3,0.4,0,0
1,1,4,0.2,0,0
1,1,5,0.4,0,0
1,1,6,0,1,0
2,2,1,0,0,0
2,2,2,0.2,0,0
2,2,3,0.3,0,0
2,2,4,0.2,0,0
2,2,5,0.1,0,0
2,2,6,0,0,0
2,2,1,0.2,0,0
2,2,2,0.3,0,0
2,2,3,0.2,0,0
2,2,4,0.1,0,0
2,2,5,0,0,0
2,2,6,0,0,0
2,2,1,0.3,0,0
2,2,2,0.2,0,0
2,2,3,0.1,0,0
2,2,4,0,0,0
2,2,5,0,0,0
2,2,6,0,0,0
2,2,1,0.3,0,0
2,2,2,0.5,0,0
2,2,3,0.2,0.5,0
2,2,4,0,0.5,0
2,2,5,0,0,0
2,2,6,0,0.5,0
2,2,1,0,0,0
2,2,2,0,0,0
2,2,3,0,3,1
2,2,4,0,55,0
2,2,5,0,2,0.5
2,2,6,0,1.5,0
2,2,1,0,14.5,0
2,2,2,0,0,0
2,2,3,0,27,0
2,2,4,0,0.5,0
2,2,5,0,83.5,0.5
2,2,6,0,22.1,6.5
2,2,1,0,51,5
2,2,2,0,16,2
2,2,3,0,2.5,0
2,2,4,0,0,0
2,2,5,0,15.5,0
2,2,6,3.8,11,1.5
2,2,1,0,10.5,0
2,2,2,0,0.5,0
2,2,3,0,2,1.5
2,2,4,0,0,0.5
2,2,5,0,0,6.5
2,2,6,0,0,1.5
2,2,1,0,-1,1
2,2,2,0,2,4.5
2,2,3,0,10.5,2
2,2,4,0,9.5,4.5
2,2,5,0.1,3.5,18.5
2,2,6,0,1,3.5
2,2,1,0,0,1
2,2,2,0,1.5,0.5
2,2,3,0.8,18,1
2,2,4,0.2,5,0
2,2,5,0,8.5,0
2,2,6,0,11.5,0
2,2,1,0,0.5,0
2,2,2,0,12.5,0
2,2,3,0,6,0
2,2,4,0,9,0
2,2,5,0,0,0
2,2,6,0,0.5,0
2,2,1,0,0,1
2,2,2,0,0,0
2,2,3,0,0,0
2,2,4,0,0,0
2,2,5,0,0,1
2,2,6,0,0,0.5
2,2,1,0,0,0
2,2,2,0,0,0
2,2,3,0,0,0
2,2,4,0,0,0
2,2,5,0,0,0
2,2,6,0,0,1
2,2,1,0,0,13.5
2,2,2,0,0,9
2,2,3,0,0,0.5
2,2,4,0,0,0
2,2,5,0,0,0
2,2,6,0,0,0
2,2,1,0,0.5,1
2,2,2,0,1.5,12
2,2,3,0,0,7
2,2,4,0,0.5,6.5
2,2,5,0,4.5,8
2,2,6,0,1,2.5
2,2,1,0,19.5,7.5
2,2,2,0,22.5,14
2,2,3,0,1.5,26.5
2,2,4,0,0.5,18.5
2,2,5,0,0,7.5
2,2,6,0,0,1.5
2,2,1,0,0,0
2,2,2,0,0,0
2,2,3,0,0,0
2,2,4,0,0.5,0
2,2,5,0,0,0
2,2,6,0,0,0
2,2,1,0,0,0
2,2,2,0,0,0
2,2,3,0,0,0
2,2,4,0,0,0
2,2,5,0,0,0
2,2,6,0,0,0
2,2,1,0,0,0
2,2,2,0,0,0
2,2,3,0,0,0
2,2,4,0,0,0
2,2,5,0,0,0
2,2,6,0,0,0
2,2,1,0,0,0
2,2,2,0,0,0
2,2,3,0,0,0
2,2,4,0,0,0
2,2,5,0,0,0
2,2,6,0,0,0
2,2,1,0,0,0
2,2,2,0,0,0
2,2,3,0,0,0
2,2,4,0,0,0
2,2,5,0,0,0
2,2,6,0,0,0
2,2,1,0,0,0
2,2,2,0,0,0
2,2,3,0,0,0
2,2,4,0,0,0
2,2,5,0,0,0
2,2,6,0,0,0
2,2,1,0,0,0
2,2,2,0,0,0
2,2,3,0,0,0
2,2,4,0,0,0
2,2,5,0,0,0
2,2,6,0,0,0
2,2,1,0,0,0
2,2,2,0,0,0
2,2,3,0,0,0
2,2,4,0,0,0
2,2,5,0,0,0
2,2,6,0,0,0
,,,,0,0
3,3,1,0,0,0
3,3,2,0,0.5,0
3,3,3,0,1,0
3,3,4,0,1.5,0
3,3,5,0,0.5,0
3,3,6,0,0,0
3,3,1,0,0,0
3,3,2,0,0,0
3,3,3,0,0,0
3,3,4,0,0,0
3,3,5,0,0,0
3,3,6,0,0,0
3,3,1,0,0,0
3,3,2,0,0,0
3,3,3,0,0,0
3,3,4,0.1,0,0
3,3,5,2.5,0,0
3,3,6,1.1,0,0
3,3,1,0,0,0
3,3,2,1.6,0,0
3,3,3,0,0,0
3,3,4,0,0,0
3,3,5,1.3,0,0
3,3,6,2.1,0,0
3,3,1,5.4,0,0
3,3,2,0,0,0
3,3,3,0,0,0
3,3,4,0,0,0
3,3,5,0,0,0
3,3,6,0,0,0
3,3,1,0,0,0
3,3,2,0,0.5,0
3,3,3,0,0,0
3,3,4,0,0,0
3,3,5,0,0,0
3,3,6,0,0,0
3,3,1,2.1,0,0
3,3,2,0.1,0,0
3,3,3,0,0,0.5
3,3,4,0,0,0
3,3,5,0,0,2
3,3,6,0,0,1
3,3,1,0,0,0.5
3,3,2,0,0,20
3,3,3,0,0,14.5
3,3,4,0,0,4
3,3,5,0,0,0.5
3,3,6,0,0,1
3,3,1,0,0,0
3,3,2,0,0,1.5
3,3,3,0,0,5
3,3,4,0,0,0
3,3,5,0,0,2
3,3,6,0,0,0.5
3,3,1,0,0,0
3,3,2,0,0,0
3,3,3,0,1,0
3,3,4,0,0,0
3,3,5,0,0,0
3,3,6,0,0.5,0
3,3,1,0,0,0
3,3,2,0,0,0
3,3,3,0,0,0
3,3,4,0,0,0
3,3,5,0,0,0
3,3,6,0,0,0
3,3,1,0,0,0
3,3,2,0,0,0
3,3,3,0,0,0
3,3,4,0,0,0
3,3,5,0,0,0
3,3,6,0,0,0
3,3,1,0,0,0
3,3,2,0,0,0
3,3,3,0,0,0
3,3,4,0,0,0
3,3,5,0,0,0
3,3,6,0,0,0
3,3,1,0,0,0
3,3,2,0,0,0
3,3,3,0,0,0
3,3,4,0,0,0
3,3,5,0,0,0
3,3,6,0,0,0
3,3,1,0,0,0
3,3,2,0,0,0
3,3,3,0,0,0
3,3,4,0,0,0
3,3,5,2.6,0,0
3,3,6,2.7,0,0
3,3,1,0,0,0
3,3,2,0,0,0
3,3,3,0,0,0
3,3,4,0,0,0
3,3,5,0,0,0
3,3,6,0,0,0
3,3,1,0,0,0
3,3,2,0,0,0
3,3,3,0,0,0
3,3,4,0,0,0
3,3,5,0,0,0
3,3,6,0,0,0
3,3,1,0,0,0
3,3,2,0,0,0
3,3,3,0,0,0
3,3,4,0,0,0
3,3,5,0,0,0
3,3,6,0,0,0
3,3,1,0,0,0
3,3,2,0,0,0
3,3,3,0,0,0
3,3,4,0,0,0
3,3,5,0,0,0
3,3,6,0,0,0
3,3,1,0,0,0
3,3,2,0,0,0
3,3,3,0,0,0
3,3,4,0,0,0
3,3,5,0,0,0
3,3,6,0,0,0
3,3,1,0,0,0
3,3,2,0,0,0
3,3,3,0,0,0
3,3,4,0,0,0
3,3,5,0,0,0
3,3,6,0,0,0
3,3,1,0,0,0
3,3,2,0,0,0
3,3,3,0,0,0
3,3,4,0,0,0
3,3,5,0,0,0
3,3,6,0,0,0
3,3,1,0,0,0
3,3,2,0,0,0
3,3,3,0,0,0
3,3,4,0,0,0
3,3,5,0,0,0
3,3,6,0,0,0
3,3,1,0,0,0
3,3,2,0,0,0
3,3,3,0,0,0
3,3,4,0,0,0
3,3,5,0,0,0
3,3,6,0,-1,0
,,,,0,0
4,4,1,0,0,0
4,4,2,0,0,0
4,4,3,0,0,0
4,4,4,0,0,0
4,4,5,0,4.5,0
4,4,6,0,22.5,0
4,4,1,0,0.5,0
4,4,2,0,0,0
4,4,3,0,5,0
4,4,4,0,0.5,0
4,4,5,0,3.5,0
4,4,6,0,0.5,0
4,4,1,0,0.5,0
4,4,2,0,0,0
4,4,3,0,0,0
4,4,4,0,0,0
4,4,5,0,0,0
4,4,6,0,0,0
4,4,1,0,0,0
4,4,2,0,0,0
4,4,3,0,0,0
4,4,4,0,0,0
4,4,5,0,0,0
4,4,6,0,0,0
4,4,1,0,0,0
4,4,2,0,0,0
4,4,3,0,0,0
4,4,4,0,0,0
4,4,5,0,0,0
4,4,6,0,0,0
4,4,1,0,0,0
4,4,2,0,0,0
4,4,3,0,0,0
4,4,4,0,0,0
4,4,5,0,0,0
4,4,6,0,0,0
4,4,1,0,0,0
4,4,2,0,0,0
4,4,3,0,0,0
4,4,4,0,0,0
4,4,5,0,0,0
4,4,6,0,0,0
4,4,1,0,0,0
4,4,2,0,0,0
4,4,3,0,0,0
4,4,4,0,0,0
4,4,5,0,0,0
4,4,6,0,0,0
4,4,1,0,0,0
4,4,2,0,0,0
4,4,3,0,0,0
4,4,4,0,0,0.5
4,4,5,0,0,0
4,4,6,0,0,0
4,4,1,0,0,0
4,4,2,0,0,0
4,4,3,0,0,0
4,4,4,0,0,0
4,4,5,0,0,0
4,4,6,0,0,0
4,4,1,0,0,0
4,4,2,0,0,0
4,4,3,0,0,0
4,4,4,0,0,0
4,4,5,0,0,0
4,4,6,0,0,0
4,4,1,0,0,0
4,4,2,0,0,0
4,4,3,0,0,0
4,4,4,0,0,0
4,4,5,0,0,0
4,4,6,0,0,0
4,4,1,0,0,0
4,4,2,0,0,0
4,4,3,0,0,0
4,4,4,0,0,7
4,4,5,0,0,3
4,4,6,0,0,0.5
4,4,1,0,0,2.5
4,4,2,0,0,16.5
4,4,3,0,0,0.5
4,4,4,0,0,2.5
4,4,5,0,0.5,0
4,4,6,0,1,0
4,4,1,0,0,0
4,4,2,0,0,0
4,4,3,0,0.5,0
4,4,4,0,0,0
4,4,5,0,0.5,0
4,4,6,0,1.5,0
4,4,1,0,1,0
4,4,2,0,0,0
4,4,3,0,0,0
4,4,4,0,0,0
4,4,5,0,0,0
4,4,6,0,0,0
4,4,1,0,0,0
4,4,2,0,0,0
4,4,3,0,0,0
4,4,4,0,0,0
4,4,5,0,0,0
4,4,6,0,0,0
4,4,1,0,0,0
4,4,2,0,0,0
4,4,3,0,0,0
4,4,4,0,0,0
4,4,5,0,0,0
4,4,6,0,0,0
4,4,1,0,0,0
4,4,2,0,0,0
4,4,3,0.7,0,0
4,4,4,2.9,0,0
4,4,5,0,0,0
4,4,6,0,0,0
4,4,1,0,0,0
4,4,2,0,0,0
4,4,3,0.8,0,0
4,4,4,0.2,0,0
4,4,5,0,0,0
4,4,6,0,0,0
4,4,1,0,0,0
4,4,2,0,0,0
4,4,3,0,0,0
4,4,4,0,0,0
4,4,5,0,0,0
4,4,6,0,0,0
4,4,1,0,0,0
4,4,2,0,0,0
4,4,3,0,0,0
4,4,4,0,0,0
4,4,5,0,0,0
4,4,6,0,0,0
4,4,1,0,0,0
4,4,2,0,0,0
4,4,3,0,0,0
4,4,4,0,0,0
4,4,5,0,0,0
4,4,6,0,0,0
4,4,1,0,0,0
4,4,2,0,0,0
4,4,3,0,0,0
4,4,4,0,0,0
4,4,5,0,0,0
4,4,6,0,0,0
,,,,1,0
5,5,1,0,0.5,0
5,5,2,0,0,0
5,5,3,0,0,0
5,5,4,0,0,0
5,5,5,0,0,0
5,5,6,0,0,0
5,5,1,0,0,0
5,5,2,0,0,0
5,5,3,0,0,0
5,5,4,0,0,0
5,5,5,0,0,0
5,5,6,0,0,0
5,5,1,0,0,0
5,5,2,0,0,0
5,5,3,0,0,0
5,5,4,0,0,0
5,5,5,0,0,0
5,5,6,0,0,0
5,5,1,0,0,0
5,5,2,0,0,0
5,5,3,0,0,0
5,5,4,0,0,0
5,5,5,0,0,0
5,5,6,0,0,0
5,5,1,0,0,0
5,5,2,0,0,0
5,5,3,0,0,0
5,5,4,0,0,0
5,5,5,0,0,0
5,5,6,0,0,0
5,5,1,0,0,0
5,5,2,0,0,0.5
5,5,3,0,0,0
5,5,4,0,0,0
5,5,5,0,0,1
5,5,6,0,0,0
5,5,1,0,0,0.5
5,5,2,0,0.5,0
5,5,3,0,0,0
5,5,4,0,0,0
5,5,5,0,0,0
5,5,6,0,0,0.5
5,5,1,0,0,3.5
5,5,2,0,0,0.5
5,5,3,0,0,0.5
5,5,4,0,0,0
5,5,5,0,0,0
5,5,6,0,0,0.5
5,5,1,0,0,0
5,5,2,0,0,1.5
5,5,3,0,0,0
5,5,4,0,0,0
5,5,5,0,0,0
5,5,6,0,0,0
5,5,1,0,0,0
5,5,2,0,0,0
5,5,3,0,0,0
5,5,4,0,0,0
5,5,5,0,0,0
5,5,6,0,0,0
5,5,1,0,0,0
5,5,2,0,0,0
5,5,3,0,0,0
5,5,4,0,0,0
5,5,5,0,0,1
5,5,6,0,0,10.5
5,5,1,0,0,0
5,5,2,0,0,0
5,5,3,0,0,0
5,5,4,0,0,0
5,5,5,0,0,0
5,5,6,0,0,0
5,5,1,0,0,0
5,5,2,0,0,17
5,5,3,0,0,0.5
5,5,4,0,0,0
5,5,5,0,0,0
5,5,6,0,0,0
5,5,1,0,0,0
5,5,2,0,0,0
5,5,3,0,0,0
5,5,4,0,0,0
5,5,5,0,0,0
5,5,6,0,0,0
5,5,1,0,0,0
5,5,2,0,0,0
5,5,3,0,0,0
5,5,4,0,0,0
5,5,5,0,0,0
5,5,6,0,0,0
5,5,1,0,1,0
5,5,2,0,0,0
5,5,3,0,0.5,0
5,5,4,0,0,0
5,5,5,0,0,0.5
5,5,6,0,0.5,6
5,5,1,0,0,2
5,5,2,0,0,0
5,5,3,0,0,0
5,5,4,0,0,0
5,5,5,0,0,0.5
5,5,6,0,0,4
5,5,1,0,0,11
5,5,2,0,0,2.5
5,5,3,0,0,1.5
5,5,4,0,0,0
5,5,5,0,0,0
5,5,6,0,0,0
5,5,1,0,0,1
5,5,2,0,0.5,0.5
5,5,3,0,2.5,0
5,5,4,0,3,0
5,5,5,0,2.5,0.5
5,5,6,0,1.5,0
5,5,1,0,1,0.5
5,5,2,0,2.5,0
5,5,3,0,2,0
5,5,4,0,3,0
5,5,5,0,2,0
5,5,6,0,0.5,0
5,5,1,0,2,0
5,5,2,0,3,0
5,5,3,0,1,0
5,5,4,0,1.5,0
5,5,5,0,1,0
5,5,6,0,1,0
5,5,1,0,1,0
5,5,2,0,1,0
5,5,3,0,0,0
5,5,4,0,0,0
5,5,5,0,0,0
5,5,6,0,0,0
5,5,1,0,0,0
5,5,2,0,0,0
5,5,3,0,0,0
5,5,4,0,0,0
5,5,5,0,0,0
5,5,6,0,0,0
5,5,1,0,0,0
5,5,2,0,0,0
5,5,3,0,0,0
5,5,4,0,0,0
5,5,5,0,0,0
5,5,6,0,0,0
,,,,0,0
6,6,1,0,0,0
6,6,2,0,0,0
6,6,3,0,0,0
6,6,4,0,0,0
6,6,5,0,0,0
6,6,6,0.4,0,0
6,6,1,0,0,0
6,6,2,0,0,0
6,6,3,0,0,0
6,6,4,0,0,0
6,6,5,0,0,0
6,6,6,0,0,0
6,6,1,0,0,0
6,6,2,0,0,0
6,6,3,0,0,0
6,6,4,0,0,0
6,6,5,0,0,0
6,6,6,0,0,0
6,6,1,0,0,0
6,6,2,0,0,0
6,6,3,0,,
6,6,4,0,,
6,6,5,0,,
6,6,6,0,,
6,6,1,0,,
6,6,2,0,,
6,6,3,0,,
6,6,4,0,,
6,6,5,0,,
6,6,6,0,,
6,6,1,1,,
6,6,2,0,,
6,6,3,0,,
6,6,4,0,,
6,6,5,0,,
6,6,6,0,,
6,6,1,0,,
6,6,2,0,,
6,6,3,0,,
6,6,4,0,,
6,6,5,0,,
6,6,6,0,,
6,6,1,0,,
6,6,2,0,,
6,6,3,0,,
6,6,4,0,,
6,6,5,0,,
6,6,6,0,,
6,6,1,0,,
6,6,2,0,,
6,6,3,0,,
6,6,4,0,,
6,6,5,0.1,,
6,6,6,0,,
6,6,1,0,,
6,6,2,0,,
6,6,3,0.3,,
6,6,4,0.2,,
6,6,5,0,,
6,6,6,0,,
6,6,1,0,,
6,6,2,0,,
6,6,3,0,,
6,6,4,0,,
6,6,5,0,,
6,6,6,0,,
6,6,1,0.1,,
6,6,2,0,,
6,6,3,0,,
6,6,4,0,,
6,6,5,0,,
6,6,6,0,,
6,6,1,0,,
6,6,2,0,,
6,6,3,0,,
6,6,4,0,,
6,6,5,0,,
6,6,6,0,,
6,6,1,0,,
6,6,2,0,,
6,6,3,0,,
6,6,4,0,,
6,6,5,0,,
6,6,6,0,,
6,6,1,0,,
6,6,2,0,,
6,6,3,0,,
6,6,4,0,,
6,6,5,0,,
6,6,6,0,,
6,6,1,0,,
6,6,2,0,,
6,6,3,0,,
6,6,4,0,,
6,6,5,0,,
6,6,6,0,,
6,6,1,0,,
6,6,2,0,,
6,6,3,0,,
6,6,4,0,,
6,6,5,0,,
6,6,6,0,,
6,6,1,0,,
6,6,2,0,,
6,6,3,0,,
6,6,4,0,,
6,6,5,0,,
6,6,6,0,,
6,6,1,0,,
6,6,2,0,,
6,6,3,0,,
6,6,4,0,,
6,6,5,0,,
6,6,6,0,,
6,6,1,0,,
6,6,2,0,,
6,6,3,0,,
6,6,4,0,,
6,6,5,0,,
6,6,6,0,,
6,6,1,0,,
6,6,2,0,,
6,6,3,0,,
6,6,4,0,,
6,6,5,0,,
6,6,6,0,,
6,6,1,0,,
6,6,2,0,,
6,6,3,0,,
6,6,4,0,,
6,6,5,0,,
6,6,6,0,,
6,6,1,0,,
6,6,2,0,,
6,6,3,0,,
6,6,4,0,,
6,6,5,0,,
6,6,6,0,,
6,6,1,0,,
6,6,2,0,,
6,6,3,0,,
6,6,4,0,,
6,6,5,0,,
6,6,6,0,,
,,,,,
7,7,1,0,,
7,7,2,0,,
7,7,3,0,,
7,7,4,0,,
7,7,5,0,,
7,7,6,0,,
7,7,1,0,,
7,7,2,0,,
7,7,3,0,,
7,7,4,0,,
7,7,5,0,,
7,7,6,0,,
7,7,1,0,,
7,7,2,0,,
7,7,3,0,,
7,7,4,0,,
7,7,5,0,,
7,7,6,0,,
7,7,1,0,,
7,7,2,0,,
7,7,3,0,,
7,7,4,0,,
7,7,5,0,,
7,7,6,0,,
7,7,1,0,,
7,7,2,0,,
7,7,3,0,,
7,7,4,0,,
7,7,5,0,,
7,7,6,0,,
7,7,1,0,,
7,7,2,0,,
7,7,3,0,,
7,7,4,0,,
7,7,5,0,,
7,7,6,0,,
7,7,1,0,,
7,7,2,0,,
7,7,3,0,,
7,7,4,0,,
7,7,5,0,,
7,7,6,0,,
7,7,1,0,,
7,7,2,0,,
7,7,3,0,,
7,7,4,0,,
7,7,5,0,,
7,7,6,0,,
7,7,1,0,,
7,7,2,0,,
7,7,3,0,,
7,7,4,0,,
7,7,5,0,,
7,7,6,0,,
7,7,1,0,,
7,7,2,0,,
7,7,3,0,,
7,7,4,0,,
7,7,5,0,,
7,7,6,0,,
7,7,1,0,,
7,7,2,0,,
7,7,3,0,,
7,7,4,0,,
7,7,5,0,,
7,7,6,0,,
7,7,1,0,,
7,7,2,0,,
7,7,3,0,,
7,7,4,0,,
7,7,5,0,,
7,7,6,0,,
7,7,1,0,,
7,7,2,0,,
7,7,3,0,,
7,7,4,0,,
7,7,5,0,,
7,7,6,0,,
7,7,1,0,,
7,7,2,0,,
7,7,3,0,,
7,7,4,0,,
7,7,5,0,,
7,7,6,0,,
7,7,1,0,,
7,7,2,0,,
7,7,3,0,,
7,7,4,0,,
7,7,5,0,,
7,7,6,0,,
7,7,1,0,,
7,7,2,0,,
7,7,3,0,,
7,7,4,0,,
7,7,5,0,,
7,7,6,0,,
7,7,1,0,,
7,7,2,0,,
7,7,3,0,,
7,7,4,0,,
7,7,5,0,,
7,7,6,0,,
7,7,1,0,,
7,7,2,0,,
7,7,3,0,,
7,7,4,0,,
7,7,5,0,,
7,7,6,0,,
7,7,1,0,,
7,7,2,0,,
7,7,3,0,,
7,7,4,0,,
7,7,5,0,,
7,7,6,0,,
7,7,1,0,,
7,7,2,0,,
7,7,3,0,,
7,7,4,0,,
7,7,5,0,,
7,7,6,0,,
7,7,1,0,,
7,7,2,0,,
7,7,3,0,,
7,7,4,0,,
7,7,5,0,,
7,7,6,0,,
7,7,1,0,,
7,7,2,0,,
7,7,3,0,,
7,7,4,0,,
7,7,5,0,,
7,7,6,0,,
7,7,1,0,,
7,7,2,0,,
7,7,3,0,,
7,7,4,0,,
7,7,5,0,,
7,7,6,0,,
7,7,1,0,,
7,7,2,0,,
7,7,3,0,,
7,7,4,0,,
7,7,5,0,,
7,7,6,0,,
,,,,,
8,8,1,0,,
8,8,2,0,,
8,8,3,0,,
8,8,4,0.1,,
8,8,5,0,,
8,8,6,0,,
8,8,1,0,,
8,8,2,0,,
8,8,3,0,,
8,8,4,0,,
8,8,5,0,,
8,8,6,3.9,,
8,8,1,0,,
8,8,2,0,,
8,8,3,0,,
8,8,4,0,,
8,8,5,0,,
8,8,6,0,,
8,8,1,0,,
8,8,2,0,,
8,8,3,0,,
8,8,4,0,,
8,8,5,0,,
8,8,6,0,,
8,8,1,0,,
8,8,2,0,,
8,8,3,0,,
8,8,4,0,,
8,8,5,0,,
8,8,6,0.5,,
8,8,1,4.1,,
8,8,2,3.4,,
8,8,3,1.7,,
8,8,4,1.7,,
8,8,5,0,,
8,8,6,0,,
8,8,1,2.7,,
8,8,2,1.4,,
8,8,3,0.2,,
8,8,4,1.7,,
8,8,5,3.7,,
8,8,6,0.3,,
8,8,1,21.799999,,
8,8,2,6.7,,
8,8,3,0.6,,
8,8,4,0,,
8,8,5,0,,
8,8,6,0,,
8,8,1,1,,
8,8,2,0.7,,
8,8,3,0.1,,
8,8,4,0,,
8,8,5,0,,
8,8,6,0,,
8,8,1,2.1,,
8,8,2,3,,
8,8,3,1.8,,
8,8,4,0.4,,
8,8,5,0.1,,
8,8,6,0,,
8,8,1,1.1,,
8,8,2,0,,
8,8,3,0,,
8,8,4,0,,
8,8,5,0,,
8,8,6,0,,
8,8,1,0,,
8,8,2,0,,
8,8,3,0,,
8,8,4,0,,
8,8,5,0,,
8,8,6,0,,
8,8,1,0,,
8,8,2,0,,
8,8,3,0,,
8,8,4,0,,
8,8,5,0,,
8,8,6,0,,
8,8,1,0,,
8,8,2,0,,
8,8,3,0,,
8,8,4,0,,
8,8,5,0,,
8,8,6,0,,
8,8,1,0,,
8,8,2,0,,
8,8,3,0,,
8,8,4,0,,
8,8,5,0,,
8,8,6,0,,
8,8,1,0,,
8,8,2,0,,
8,8,3,0,,
8,8,4,0,,
8,8,5,0,,
8,8,6,0,,
8,8,1,0,,
8,8,2,0,,
8,8,3,0,,
8,8,4,0,,
8,8,5,0,,
8,8,6,0,,
8,8,1,0,,
8,8,2,0,,
8,8,3,0,,
8,8,4,0,,
8,8,5,0,,
8,8,6,0,,
8,8,1,0,,
8,8,2,0,,
8,8,3,0,,
8,8,4,0,,
8,8,5,0,,
8,8,6,0,,
8,8,1,0,,
8,8,2,0,,
8,8,3,0,,
8,8,4,0,,
8,8,5,0,,
8,8,6,0,,
8,8,1,0,,
8,8,2,0,,
8,8,3,0,,
8,8,4,0,,
8,8,5,0,,
